db,family,Nv,linear uniform,log uniform,log normal
agnddf,agnddf,31,32,26,27
alt_dust,alt,74,80,75,78
alt_roll_mod2_dust_sdf_0.20,alt,81,81,78,81
baseline_2snaps,baseline,18,18,29,22
baseline_samefilt,baseline,0,0,0,0
baseline,baseline,51,51,41,46
bulges_bs,bulges,7,8,21,8
bulges_bulge_wfd,bulges,6,5,9,7
bulges_cadence_bs,bulges,9,10,17,12
bulges_cadence_bulge_wfd,bulges,2,3,12,3
bulges_cadence_i_heavy,bulges,5,9,11,10
bulges_i_heavy,bulges,3,4,6,6
daily_ddf,daily,15,15,15,16
dcr_nham1_ug,dcr,35,35,32,33
dcr_nham1_ugr,dcr,23,23,27,20
dcr_nham1_ugri,dcr,27,27,34,30
dcr_nham2_ug,dcr,24,22,25,24
dcr_nham2_ugr,dcr,13,12,10,5
dcr_nham2_ugri,dcr,11,13,7,9
descddf,descddf,29,30,22,26
filterdist_indx1,filterdist,71,71,70,74
filterdist_indx2,filterdist,73,70,66,63
filterdist_indx3,filterdist,69,64,52,72
filterdist_indx4,filterdist,49,41,47,58
filterdist_indx5,filterdist,36,26,8,23
filterdist_indx6,filterdist,33,20,3,15
filterdist_indx7,filterdist,75,74,61,68
filterdist_indx8,filterdist,56,50,23,35
footprint_add_mag_clouds,footprint,40,38,54,36
footprint_big_sky_dust,footprint,53,48,55,41
footprint_big_sky_nouiy,footprint,67,67,64,66
footprint_big_sky,footprint,66,66,60,65
footprint_big_wfd,footprint,38,29,36,32
footprint_bluer_footprint,footprint,41,34,35,64
footprint_gp_smooth,footprint,22,21,24,25
footprint_newA,footprint,1,1,1,1
footprint_newB,footprint,4,6,13,11
footprint_no_gp_north,footprint,46,49,39,51
footprint_standard_goals,footprint,47,42,46,49
footprint_stuck_rolling,footprint,78,79,72,77
goodseeing_gi,goodseeing,43,54,44,54
goodseeing_gri,goodseeing,50,59,63,55
goodseeing_griz,goodseeing,55,60,58,57
goodseeing_gz,goodseeing,64,62,62,60
goodseeing_i,goodseeing,25,33,33,42
greedy_footprint,greedy,32,39,45,52
roll_mod2_dust_sdf_0.20,roll,26,31,57,44
rolling_mod2_sdf_0.10,rolling,63,65,71,69
rolling_mod2_sdf_0.20,rolling,62,63,73,71
rolling_mod3_sdf_0.10,rolling,76,78,77,79
rolling_mod3_sdf_0.20,rolling,70,73,74,76
rolling_mod6_sdf_0.10,rolling,84,85,80,85
rolling_mod6_sdf_0.20,rolling,83,84,81,84
short_exp_2ns_1expt,short,80,77,83,75
short_exp_2ns_5expt,short,79,76,82,73
short_exp_5ns_1expt,short,85,83,84,82
short_exp_5ns_5expt,short,82,82,85,80
spiders,spiders,44,43,49,48
third_obs_pt120,third,12,25,30,14
third_obs_pt15,third,52,52,40,50
third_obs_pt30,third,45,46,38,43
third_obs_pt45,third,39,47,48,39
third_obs_pt60,third,34,45,51,29
third_obs_pt90,third,16,37,18,17
twilight_neo_mod1,twilight,60,53,76,38
twilight_neo_mod2,twilight,58,56,67,53
twilight_neo_mod3,twilight,48,44,53,47
twilight_neo_mod4,twilight,57,57,68,45
u60,u60,21,17,19,34
var_expt,var,54,72,79,83
wfd_depth_scale0.65_noddf,wfd,14,11,5,13
wfd_depth_scale0.65,wfd,8,7,4,4
wfd_depth_scale0.70_noddf,wfd,19,14,14,19
wfd_depth_scale0.70,wfd,10,2,2,2
wfd_depth_scale0.75_noddf,wfd,30,24,31,28
wfd_depth_scale0.75,wfd,17,16,16,18
wfd_depth_scale0.80_noddf,wfd,37,36,37,40
wfd_depth_scale0.80,wfd,20,19,20,21
wfd_depth_scale0.85_noddf,wfd,59,55,43,56
wfd_depth_scale0.85,wfd,28,28,28,31
wfd_depth_scale0.90_noddf,wfd,65,61,56,61
wfd_depth_scale0.90,wfd,42,40,42,37
wfd_depth_scale0.95_noddf,wfd,72,69,65,67
wfd_depth_scale0.95,wfd,61,58,50,59
wfd_depth_scale0.99_noddf,wfd,77,75,69,70
wfd_depth_scale0.99,wfd,68,68,59,62
